school,city,stateProvince,country,schoolcitystate,lon,lat
Winona Secondary School,Winona,MS,USA,"Winona Secondary School, Winona, MS",,
Winston Academy,Louisville,MS,USA,"Winston Academy, Louisville, MS",,
Yazoo City,Yazoo City,MS,USA,"Yazoo City, Yazoo City, MS",,
Yazoo County,Yazoo City,MS,USA,"Yazoo County, Yazoo City, MS",,
Billings Central Catholic,Billings,MT,USA,"Billings Central Catholic, Billings, MT",,
Billings Sr,Billings,MT,USA,"Billings Sr, Billings, MT",,
Billings West,Billings,MT,USA,"Billings West, Billings, MT",,
Bozeman,Wise River,MT,USA,"Bozeman, Wise River, MT",,
Butte,Butte,MT,USA,"Butte, Butte, MT",,
Butte Central Catholic,Butte,MT,USA,"Butte Central Catholic, Butte, MT",,
C M Russell,Great Falls,MT,USA,"C M Russell, Great Falls, MT",,
Capital,Helena,MT,USA,"Capital, Helena, MT",,
Columbus,Columbus,MT,USA,"Columbus, Columbus, MT",,
Corvallis,Corvallis,MT,USA,"Corvallis, Corvallis, MT",,
Flathead,Kalispell,MT,USA,"Flathead, Kalispell, MT",,
Hamilton,Hamilton,MT,USA,"Hamilton, Hamilton, MT",,
Helena,Helena,MT,USA,"Helena, Helena, MT",,
Libby,Libby,MT,USA,"Libby, Libby, MT",,
Skyview,Billings,MT,USA,"Skyview, Billings, MT",,
Stevensville,Stevensville,MT,USA,"Stevensville, Stevensville, MT",,
Superior,Superior,MT,USA,"Superior, Superior, MT",,
Australia,NA,NA,Australia,"Australia, NA, NA",,
Austria,NA,NA,Austria,"Austria, NA, NA",,
Belgium,NA,NA,Belgium,"Belgium, NA, NA",,
Canada,NA,NA,Canada,"Canada, NA, NA",,
Canisius,NA,NA,NA,"Canisius, NA, NA",,
Cegep du Vieux,NA,NA,NA,"Cegep du Vieux, NA, NA",,
Central Gwinnett,NA,NA,NA,"Central Gwinnett, NA, NA",,
Champlain-Lennoxville,Na,NA,NA,"Champlain-Lennoxville, Na, NA",,
Clearwater Academy International,NA,NA,Italy,"Clearwater Academy International, NA, NA",,
Duesseldorf Panther - U 19 A,NA,NA,Germany,"Duesseldorf Panther - U 19 A, NA, NA",,
England,NA,NA,England,"England, NA, NA",,
Faga'itua,NA,NA,NA,"Faga'itua, NA, NA",,
Finland,NA,NA,Finland,"Finland, NA, NA",,
FOS Ansbach,Na,NA,NA,"FOS Ansbach, Na, NA",,
France,NA,NA,France,"France, NA, NA",,
Germany,NA,NA,Germany,"Germany, NA, NA",,
Harry Ainlay High School,NA,NA,Canada,"Harry Ainlay High School, NA, NA",,
Holy Trinity,NA,NA,Canada,"Holy Trinity, NA, NA",,
IMG Academy,NA,NA,NA,"IMG Academy, NA, NA",,
IMG Academy,NA,NA,Germany,"IMG Academy, NA, NA",,
John Abbott College,NA,NA,NA,"John Abbott College, NA, NA",,
Kelowna Secondary School,NA,NA,NA,"Kelowna Secondary School, NA, NA",,
Leone,NA,NA,American Samoa,"Leone, NA, NA",,
Liahona,Liahona,NA,NA,"Liahona, Liahona, NA",,
Menlo,NA,NA,NA,"Menlo, NA, NA",,
Mount Carmel,NA,NA,NA,"Mount Carmel, NA, NA",,
NA,Bristol,NA,NA,"NA, Bristol, NA",,
NA,Melbourne,NA,NA,"NA, Melbourne, NA",,
NA,NA,NA,Germany,"NA, NA, NA",,
Paderborn Dolphins,NA,NA,Germany,"Paderborn Dolphins, NA, NA",,
Pro Kick,Na,NA,NA,"Pro Kick, Na, NA",,
ProKick Australia,NA,NA,Australia,"ProKick Australia, NA, NA",,
Salisbury School,NA,NA,Germany,"Salisbury School, NA, NA",,
Samoana,NA,NA,NA,"Samoana, NA, NA",,
St. Edward,NA,NA,NA,"St. Edward, NA, NA",,
Stockbridge,NA,NA,NA,"Stockbridge, NA, NA",,
Sweden,NA,NA,Sweden,"Sweden, NA, NA",,
Sydney Secondary College,NA,NA,Australia,"Sydney Secondary College, NA, NA",,
Tavistock College,Na,NA,NA,"Tavistock College, Na, NA",,
The Scot's College,NA,NA,Australia,"The Scot's College, NA, NA",,
The Taft School,NA,NA,Germany,"The Taft School, NA, NA",,
Vancouver College Prep,Na,NA,NA,"Vancouver College Prep, Na, NA",,
Waterdown District High School,NA,NA,NA,"Waterdown District High School, NA, NA",,
World of Life,NA,NA,NA,"World of Life, NA, NA",,
A C Reynolds,Asheville,NC,USA,"A C Reynolds, Asheville, NC",,
A L Brown,Kannapolis,NC,USA,"A L Brown, Kannapolis, NC",,
Albemarle,Albemarle,NC,USA,"Albemarle, Albemarle, NC",,
Alexander Central,Taylorsville,NC,USA,"Alexander Central, Taylorsville, NC",,
Anson,Wadesboro,NC,USA,"Anson, Wadesboro, NC",,
Apex,Apex,NC,USA,"Apex, Apex, NC",,
Ardrey Kell,Charlotte,NC,USA,"Ardrey Kell, Charlotte, NC",,
Ashbrook,Gastonia,NC,USA,"Ashbrook, Gastonia, NC",,
Ashe County,West Jefferson,NC,USA,"Ashe County, West Jefferson, NC",,
Asheboro,Asheboro,NC,USA,"Asheboro, Asheboro, NC",,
Asheville,Asheville,NC,USA,"Asheville, Asheville, NC",,
Athens Drive,Raleigh,NC,USA,"Athens Drive, Raleigh, NC",,
Aycock,Pikeville,NC,USA,"Aycock, Pikeville, NC",,
Ayden-Grifton,Ayden,NC,USA,"Ayden-Grifton, Ayden, NC",,
Bandys,Catawba,NC,USA,"Bandys, Catawba, NC",,
Bartlett Yancey,Yanceyville,NC,USA,"Bartlett Yancey, Yanceyville, NC",,
Beddingfield,Wilson,NC,USA,"Beddingfield, Wilson, NC",,
Ben L Smith,Greensboro,NC,USA,"Ben L Smith, Greensboro, NC",,
Bertie,Windsor,NC,USA,"Bertie, Windsor, NC",,
Brevard,Brevard,NC,USA,"Brevard, Brevard, NC",,
Broughton,Raleigh,NC,USA,"Broughton, Raleigh, NC",,
Bunn,Bunn,NC,USA,"Bunn, Bunn, NC",,
Bunn,Wake Forest,NC,USA,"Bunn, Wake Forest, NC",,
Burns,Lawndale,NC,USA,"Burns, Lawndale, NC",,
Butler,Matthews,NC,USA,"Butler, Matthews, NC",,
C.E. Jordan,Durham,NC,USA,"C.E. Jordan, Durham, NC",,
Caldwell Academy,Greensboro,NC,USA,"Caldwell Academy, Greensboro, NC",,
Camden County,Camden,NC,USA,"Camden County, Camden, NC",,
Camp Lejeune,Camp Lejeune,NC,USA,"Camp Lejeune, Camp Lejeune, NC",,
Cannon School,Concord,NC,USA,"Cannon School, Concord, NC",,
Cape Fear,Fayetteville,NC,USA,"Cape Fear, Fayetteville, NC",,
Cardinal Gibbons,Raleigh,NC,USA,"Cardinal Gibbons, Raleigh, NC",,
Carrboro,Carrboro,NC,USA,"Carrboro, Carrboro, NC",,
Carver,Winston Salem,NC,USA,"Carver, Winston Salem, NC",,
Cary,Cary,NC,USA,"Cary, Cary, NC",,
Cedar Ridge,Hillsborough,NC,USA,"Cedar Ridge, Hillsborough, NC",,
Central Cabarrus,Concord,NC,USA,"Central Cabarrus, Concord, NC",,
Central Davidson,Lexington,NC,USA,"Central Davidson, Lexington, NC",,
Chapel Hill,Chapel Hill,NC,USA,"Chapel Hill, Chapel Hill, NC",,
Charles D Owen,Black Mountain,NC,USA,"Charles D Owen, Black Mountain, NC",,
Charlotte Catholic,Charlotte,NC,USA,"Charlotte Catholic, Charlotte, NC",,
Charlotte Christian,Charlotte,NC,USA,"Charlotte Christian, Charlotte, NC",,
Charlotte Country Day,Charlotte,NC,USA,"Charlotte Country Day, Charlotte, NC",,
Charlotte Latin School,Charlotte,NC,USA,"Charlotte Latin School, Charlotte, NC",,
Chase,Forest City,NC,USA,"Chase, Forest City, NC",,
Cherryville Senior,Cherryville,NC,USA,"Cherryville Senior, Cherryville, NC",,
Cheshire Academy,Charlotte,NC,USA,"Cheshire Academy, Charlotte, NC",,
Christ School,Arden,NC,USA,"Christ School, Arden, NC",,
Christchurch School,Kinston,NC,USA,"Christchurch School, Kinston, NC",,
Clayton,Clayton,NC,USA,"Clayton, Clayton, NC",,
Cleveland,Clayton,NC,USA,"Cleveland, Clayton, NC",,
Clinton,Clinton,NC,USA,"Clinton, Clinton, NC",,
Concord,Concord,NC,USA,"Concord, Concord, NC",,
Corinth Holders,Wendell,NC,USA,"Corinth Holders, Wendell, NC",,
Covenant Day School,Matthews,NC,USA,"Covenant Day School, Matthews, NC",,
Cox Mill,Concord,NC,USA,"Cox Mill, Concord, NC",,
Crest,Shelby,NC,USA,"Crest, Shelby, NC",,
Cuthbertson High School,Waxhaw,NC,USA,"Cuthbertson High School, Waxhaw, NC",,
D H Conley,Greenville,NC,USA,"D H Conley, Greenville, NC",,
Davidson Day,Davidson,NC,USA,"Davidson Day, Davidson, NC",,
Davidson Day,Mocksville,NC,USA,"Davidson Day, Mocksville, NC",,
Davidson Early College,Lexington,NC,USA,"Davidson Early College, Lexington, NC",,
Davie County,Mocksville,NC,USA,"Davie County, Mocksville, NC",,
Douglas Byrd,Fayetteville,NC,USA,"Douglas Byrd, Fayetteville, NC",,
Dudley,Greensboro,NC,USA,"Dudley, Greensboro, NC",,
E E Smith,Fayetteville,NC,USA,"E E Smith, Fayetteville, NC",,
E E Waddell,Charlotte,NC,USA,"E E Waddell, Charlotte, NC",,
East Burke,Valdese,NC,USA,"East Burke, Valdese, NC",,
East Carteret,Beaufort,NC,USA,"East Carteret, Beaufort, NC",,
East Chapel Hill,Chapel Hill,NC,USA,"East Chapel Hill, Chapel Hill, NC",,
East Columbus,Lake Waccamaw,NC,USA,"East Columbus, Lake Waccamaw, NC",,
East Duplin,Beulaville,NC,USA,"East Duplin, Beulaville, NC",,
East Forsyth,Kernersville,NC,USA,"East Forsyth, Kernersville, NC",,
East Lincoln,Denver,NC,USA,"East Lincoln, Denver, NC",,
East Mecklenburg,Charlotte,NC,USA,"East Mecklenburg, Charlotte, NC",,
East Montgomery,Biscoe,NC,USA,"East Montgomery, Biscoe, NC",,
East Rutherford,Forest City,NC,USA,"East Rutherford, Forest City, NC",,
East Wake Integ Tech,Wendell,NC,USA,"East Wake Integ Tech, Wendell, NC",,
East Wilkes,North Wilkesboro,NC,USA,"East Wilkes, North Wilkesboro, NC",,
Eastern Alamance,Mebane,NC,USA,"Eastern Alamance, Mebane, NC",,
Eastern Guilford,Gibsonville,NC,USA,"Eastern Guilford, Gibsonville, NC",,
Eastern Randolph,Ramseur,NC,USA,"Eastern Randolph, Ramseur, NC",,
Eastern Wayne,Goldsboro,NC,USA,"Eastern Wayne, Goldsboro, NC",,
Emsley A Laney,Wilmington,NC,USA,"Emsley A Laney, Wilmington, NC",,
Eugene Ashley,Wilmington,NC,USA,"Eugene Ashley, Wilmington, NC",,
Fairmont,Fairmont,NC,USA,"Fairmont, Fairmont, NC",,
Farmville Central,Farmville,NC,USA,"Farmville Central, Farmville, NC",,
Fike,Wilson,NC,USA,"Fike, Wilson, NC",,
Forest Hills,Marshville,NC,USA,"Forest Hills, Marshville, NC",,
Forestview,Gastonia,NC,USA,"Forestview, Gastonia, NC",,
Forsyth Country Day School,Lewisville,NC,USA,"Forsyth Country Day School, Lewisville, NC",,
Franklin,Franklin,NC,USA,"Franklin, Franklin, NC",,
Fred T Foard,Newton,NC,USA,"Fred T Foard, Newton, NC",,
Freedom,Morganton,NC,USA,"Freedom, Morganton, NC",,
Fuquay-varina,Fuquay Varina,NC,USA,"Fuquay-varina, Fuquay Varina, NC",,
Garner,Garner,NC,USA,"Garner, Garner, NC",,
Goldsboro,Goldsboro,NC,USA,"Goldsboro, Goldsboro, NC",,
Graham,Graham,NC,USA,"Graham, Graham, NC",,
Gray's Creek,Hope Mills,NC,USA,"Gray's Creek, Hope Mills, NC",,
Green Hope,Cary,NC,USA,"Green Hope, Cary, NC",,
Grimsley,Greensboro,NC,USA,"Grimsley, Greensboro, NC",,
Harding University,Charlotte,NC,USA,"Harding University, Charlotte, NC",,
Harnett Central,Angier,NC,USA,"Harnett Central, Angier, NC",,
Harrells Christian Academy,Harrells,NC,USA,"Harrells Christian Academy, Harrells, NC",,
Havelock,Havelock,NC,USA,"Havelock, Havelock, NC",,
Hayworth Christian School,High Point,NC,USA,"Hayworth Christian School, High Point, NC",,
Hendersonville,Hendersonville,NC,USA,"Hendersonville, Hendersonville, NC",,
Heritage,Wake Forest,NC,USA,"Heritage, Wake Forest, NC",,
Hertford County,Ahoskie,NC,USA,"Hertford County, Ahoskie, NC",,
Hibriten,Lenoir,NC,USA,"Hibriten, Lenoir, NC",,
Hickory,Hickory,NC,USA,"Hickory, Hickory, NC",,
Hickory Ridge,Harrisburg,NC,USA,"Hickory Ridge, Harrisburg, NC",,
High Point Central,High Point,NC,USA,"High Point Central, High Point, NC",,
Hillside,Durham,NC,USA,"Hillside, Durham, NC",,
Hoggard,Wilmington,NC,USA,"Hoggard, Wilmington, NC",,
Hoke County,Raeford,NC,USA,"Hoke County, Raeford, NC",,
Holly Springs,Holly Springs,NC,USA,"Holly Springs, Holly Springs, NC",,
Hopewell,Huntersville,NC,USA,"Hopewell, Huntersville, NC",,
Hugh M Cummings,Burlington,NC,USA,"Hugh M Cummings, Burlington, NC",,
Hunter Huss,Gastonia,NC,USA,"Hunter Huss, Gastonia, NC",,
IMG Academy,Clayton,NC,USA,"IMG Academy, Clayton, NC",,
Independence,Charlotte,NC,USA,"Independence, Charlotte, NC",,
J F Webb,Oxford,NC,USA,"J F Webb, Oxford, NC",,
J.H. Rose,Greenville,NC,USA,"J.H. Rose, Greenville, NC",,
Jack Britt,Fayetteville,NC,USA,"Jack Britt, Fayetteville, NC",,
James Hunt,Wilson,NC,USA,"James Hunt, Wilson, NC",,
James Kenan,Warsaw,NC,USA,"James Kenan, Warsaw, NC",,
Jay M Robinson,Concord,NC,USA,"Jay M Robinson, Concord, NC",,
Jesse Carson,China Grove,NC,USA,"Jesse Carson, China Grove, NC",,
John T Hoggard,Wilmington,NC,USA,"John T Hoggard, Wilmington, NC",,
Jordan Matthews,Siler City,NC,USA,"Jordan Matthews, Siler City, NC",,
Kings Mountain,Kings Mountain,NC,USA,"Kings Mountain, Kings Mountain, NC",,
Kinston,Kinston,NC,USA,"Kinston, Kinston, NC",,
Knightdale,Knightdale,NC,USA,"Knightdale, Knightdale, NC",,
Ledford Senior,Thomasville,NC,USA,"Ledford Senior, Thomasville, NC",,
Lee County,Sanford,NC,USA,"Lee County, Sanford, NC",,
Leesville Road,Raleigh,NC,USA,"Leesville Road, Raleigh, NC",,
Lexington Senior,Lexington,NC,USA,"Lexington Senior, Lexington, NC",,
Lincoln Catawba Christian Academy,Maiden,NC,USA,"Lincoln Catawba Christian Academy, Maiden, NC",,
Lincolnton,Lincolnton,NC,USA,"Lincolnton, Lincolnton, NC",,
Lucy Ragsdale,Jamestown,NC,USA,"Lucy Ragsdale, Jamestown, NC",,
Lumberton Senior,Lumberton,NC,USA,"Lumberton Senior, Lumberton, NC",,
Maiden,Maiden,NC,USA,"Maiden, Maiden, NC",,
Mallard Creek,Charlotte,NC,USA,"Mallard Creek, Charlotte, NC",,
Mallard Creek,Cornelius,NC,USA,"Mallard Creek, Cornelius, NC",,
Manteo,Manteo,NC,USA,"Manteo, Manteo, NC",,
Marvin Ridge,Waxhaw,NC,USA,"Marvin Ridge, Waxhaw, NC",,
Metrolina Christian Academy,Indian Trail,NC,USA,"Metrolina Christian Academy, Indian Trail, NC",,
Middle Creek,Apex,NC,USA,"Middle Creek, Apex, NC",,
Millbrook,Raleigh,NC,USA,"Millbrook, Raleigh, NC",,
Monroe,Monroe,NC,USA,"Monroe, Monroe, NC",,
Mooresville Senior,Mooresville,NC,USA,"Mooresville Senior, Mooresville, NC",,
Mooresville Senior,Mount Ulla,NC,USA,"Mooresville Senior, Mount Ulla, NC",,
Mount Airy,Mount Airy,NC,USA,"Mount Airy, Mount Airy, NC",,
Mount Pleasant,Mount Pleasant,NC,USA,"Mount Pleasant, Mount Pleasant, NC",,
Mount Tabor,Winston Salem,NC,USA,"Mount Tabor, Winston Salem, NC",,
Mountain Island Charter,Huntersville,NC,USA,"Mountain Island Charter, Huntersville, NC",,
Mountain Island Charter,Mount Holly,NC,USA,"Mountain Island Charter, Mount Holly, NC",,
Mountain Pointe,Fayetteville,NC,USA,"Mountain Pointe, Fayetteville, NC",,
Myers Park,Charlotte,NC,USA,"Myers Park, Charlotte, NC",,
NA,Asheville,NC,USA,"NA, Asheville, NC",,
NA,High Point,NC,USA,"NA, High Point, NC",,
NA,Kernersville,NC,USA,"NA, Kernersville, NC",,
NA,Lincolnton,NC,USA,"NA, Lincolnton, NC",,
NA,Monroe,NC,USA,"NA, Monroe, NC",,
NA,Mooresville,NC,USA,"NA, Mooresville, NC",,
NA,NA,NC,USA,"NA, NA, NC",,
Nash Central,Rocky Mount,NC,USA,"Nash Central, Rocky Mount, NC",,
New Bern,New Bern,NC,USA,"New Bern, New Bern, NC",,
New Hanover,Wilmington,NC,USA,"New Hanover, Wilmington, NC",,
Newton-conover,Newton,NC,USA,"Newton-conover, Newton, NC",,
North Brunswick,Leland,NC,USA,"North Brunswick, Leland, NC",,
North Carolina Tech,Charlotte,NC,USA,"North Carolina Tech, Charlotte, NC",,
North Davidson,Lexington,NC,USA,"North Davidson, Lexington, NC",,
North Edgecombe,Tarboro,NC,USA,"North Edgecombe, Tarboro, NC",,
North Forsyth,Winston Salem,NC,USA,"North Forsyth, Winston Salem, NC",,
North Gaston,Dallas,NC,USA,"North Gaston, Dallas, NC",,
North Gaston,Gastonia,NC,USA,"North Gaston, Gastonia, NC",,
North Johnston,Kenly,NC,USA,"North Johnston, Kenly, NC",,
North Lenoir,La Grange,NC,USA,"North Lenoir, La Grange, NC",,
North Mecklenburg,Huntersville,NC,USA,"North Mecklenburg, Huntersville, NC",,
North Moore,Robbins,NC,USA,"North Moore, Robbins, NC",,
North Pitt,Bethel,NC,USA,"North Pitt, Bethel, NC",,
North Rowan,Spencer,NC,USA,"North Rowan, Spencer, NC",,
North Stanly,New London,NC,USA,"North Stanly, New London, NC",,
Northampton-west,Gaston,NC,USA,"Northampton-west, Gaston, NC",,
Northeast Guilford,Mcleansville,NC,USA,"Northeast Guilford, Mcleansville, NC",,
Northeastern,Elizabeth City,NC,USA,"Northeastern, Elizabeth City, NC",,
Northern,Durham,NC,USA,"Northern, Durham, NC",,
Northern Guilford,Greensboro,NC,USA,"Northern Guilford, Greensboro, NC",,
Northern Nash,Rocky Mount,NC,USA,"Northern Nash, Rocky Mount, NC",,
Northern Vance,Henderson,NC,USA,"Northern Vance, Henderson, NC",,
Northside,Jacksonville,NC,USA,"Northside, Jacksonville, NC",,
Northside,Pinetown,NC,USA,"Northside, Pinetown, NC",,
Northside Christian Academy,Charlotte,NC,USA,"Northside Christian Academy, Charlotte, NC",,
Northwest Cabarrus,Concord,NC,USA,"Northwest Cabarrus, Concord, NC",,
Northwest Guilford,Greensboro,NC,USA,"Northwest Guilford, Greensboro, NC",,
Northwood,Pittsboro,NC,USA,"Northwood, Pittsboro, NC",,
Oak Ridge Military Academy,Oak Ridge,NC,USA,"Oak Ridge Military Academy, Oak Ridge, NC",,
Olympic HS,Charlotte,NC,USA,"Olympic HS, Charlotte, NC",,
Orange,Hillsborough,NC,USA,"Orange, Hillsborough, NC",,
Page,Greensboro,NC,USA,"Page, Greensboro, NC",,
Pamlico County,Bayboro,NC,USA,"Pamlico County, Bayboro, NC",,
Panther Creek,Cary,NC,USA,"Panther Creek, Cary, NC",,
Parkland,Winston Salem,NC,USA,"Parkland, Winston Salem, NC",,
Parkwood,Monroe,NC,USA,"Parkwood, Monroe, NC",,
Person,Roxboro,NC,USA,"Person, Roxboro, NC",,
Phillip O. Berry Academy,Charlotte,NC,USA,"Phillip O. Berry Academy, Charlotte, NC",,
Piedmont,Monroe,NC,USA,"Piedmont, Monroe, NC",,
Pine Forest,Fayetteville,NC,USA,"Pine Forest, Fayetteville, NC",,
Pinecrest,Southern Pines,NC,USA,"Pinecrest, Southern Pines, NC",,
Pisgah,Canton,NC,USA,"Pisgah, Canton, NC",,
Plymouth,Plymouth,NC,USA,"Plymouth, Plymouth, NC",,
Porter Ridge,Indian Trail,NC,USA,"Porter Ridge, Indian Trail, NC",,
Princeton,Princeton,NC,USA,"Princeton, Princeton, NC",,
Providence,Charlotte,NC,USA,"Providence, Charlotte, NC",,
Providence Day School,Charlotte,NC,USA,"Providence Day School, Charlotte, NC",,
Purnell Swett,Pembroke,NC,USA,"Purnell Swett, Pembroke, NC",,
R B Glenn,Kernersville,NC,USA,"R B Glenn, Kernersville, NC",,
Randleman,Randleman,NC,USA,"Randleman, Randleman, NC",,
Ravenscroft School,Raleigh,NC,USA,"Ravenscroft School, Raleigh, NC",,
Reagan,Pfafftown,NC,USA,"Reagan, Pfafftown, NC",,
Red Springs,Red Springs,NC,USA,"Red Springs, Red Springs, NC",,
Reidsville,Reidsville,NC,USA,"Reidsville, Reidsville, NC",,
Renaissance Olympic,Charlotte,NC,USA,"Renaissance Olympic, Charlotte, NC",,
Reynolds,Winston Salem,NC,USA,"Reynolds, Winston Salem, NC",,
Richlands,Hoffman Forest,NC,USA,"Richlands, Hoffman Forest, NC",,
Richmond,Rockingham,NC,USA,"Richmond, Rockingham, NC",,
Riverside,Durham,NC,USA,"Riverside, Durham, NC",,
Riverside,Williamston,NC,USA,"Riverside, Williamston, NC",,
Roanoke,Robersonville,NC,USA,"Roanoke, Robersonville, NC",,
Roanoke Rapids,Roanoke Rapids,NC,USA,"Roanoke Rapids, Roanoke Rapids, NC",,
Rocky Mount,Rocky Mount,NC,USA,"Rocky Mount, Rocky Mount, NC",,
Rocky River,Charlotte,NC,USA,"Rocky River, Charlotte, NC",,
Rolesville,Rolesville,NC,USA,"Rolesville, Rolesville, NC",,
Salisbury,Salisbury,NC,USA,"Salisbury, Salisbury, NC",,
Sanderson,Raleigh,NC,USA,"Sanderson, Raleigh, NC",,
Scotland County,Laurinburg,NC,USA,"Scotland County, Laurinburg, NC",,
Seventy-First,Fayetteville,NC,USA,"Seventy-First, Fayetteville, NC",,
Shelby,Shelby,NC,USA,"Shelby, Shelby, NC",,
Smithfield-selma,Smithfield,NC,USA,"Smithfield-selma, Smithfield, NC",,
South Brunswick,Southport,NC,USA,"South Brunswick, Southport, NC",,
South Caldwell,Hudson,NC,USA,"South Caldwell, Hudson, NC",,
South Central,Greenville,NC,USA,"South Central, Greenville, NC",,
South Central,Winterville,NC,USA,"South Central, Winterville, NC",,
South Columbus,Tabor City,NC,USA,"South Columbus, Tabor City, NC",,
South Iredell,Statesville,NC,USA,"South Iredell, Statesville, NC",,
South Lenoir,Deep Run,NC,USA,"South Lenoir, Deep Run, NC",,
South Mecklenburg,Charlotte,NC,USA,"South Mecklenburg, Charlotte, NC",,
South Point,Belmont,NC,USA,"South Point, Belmont, NC",,
South Robeson,Rowland,NC,USA,"South Robeson, Rowland, NC",,
South Rowan,China Grove,NC,USA,"South Rowan, China Grove, NC",,
South Stanly,Norwood,NC,USA,"South Stanly, Norwood, NC",,
South View,Hope Mills,NC,USA,"South View, Hope Mills, NC",,
Southeast Guilford,Climax,NC,USA,"Southeast Guilford, Climax, NC",,
Southeast Guilford,Greensboro,NC,USA,"Southeast Guilford, Greensboro, NC",,
Southeast Raleigh,Raleigh,NC,USA,"Southeast Raleigh, Raleigh, NC",,
Southern,Durham,NC,USA,"Southern, Durham, NC",,
Southern Alamance,Graham,NC,USA,"Southern Alamance, Graham, NC",,
Southern Guilford,Greensboro,NC,USA,"Southern Guilford, Greensboro, NC",,
Southern Lee,Sanford,NC,USA,"Southern Lee, Sanford, NC",,
Southern Nash,Bailey,NC,USA,"Southern Nash, Bailey, NC",,
Southern Vance,Henderson,NC,USA,"Southern Vance, Henderson, NC",,
Southlake Christian Academy,Huntersville,NC,USA,"Southlake Christian Academy, Huntersville, NC",,
Southlake Christian Academy,Mount Holly,NC,USA,"Southlake Christian Academy, Mount Holly, NC",,
Southwest,Jacksonville,NC,USA,"Southwest, Jacksonville, NC",,
Southwest Edgecombe,Pinetops,NC,USA,"Southwest Edgecombe, Pinetops, NC",,
Southwest Guilford,High Point,NC,USA,"Southwest Guilford, High Point, NC",,
Starmount,Boonville,NC,USA,"Starmount, Boonville, NC",,
Statesville,Statesville,NC,USA,"Statesville, Statesville, NC",,
Sun Valley,Monroe,NC,USA,"Sun Valley, Monroe, NC",,
Swansboro,Swansboro,NC,USA,"Swansboro, Swansboro, NC",,
T Wingate Andrews,High Point,NC,USA,"T Wingate Andrews, High Point, NC",,
Tarboro,Tarboro,NC,USA,"Tarboro, Tarboro, NC",,
Terry Sanford,Fayetteville,NC,USA,"Terry Sanford, Fayetteville, NC",,
Thomasville,Thomasville,NC,USA,"Thomasville, Thomasville, NC",,
Topsail,Hampstead,NC,USA,"Topsail, Hampstead, NC",,
Trinity Christian School,Fayetteville,NC,USA,"Trinity Christian School, Fayetteville, NC",,
Tuscola,Waynesville,NC,USA,"Tuscola, Waynesville, NC",,
Union Pines,Cameron,NC,USA,"Union Pines, Cameron, NC",,
Victory Christian Center School,Charlotte,NC,USA,"Victory Christian Center School, Charlotte, NC",,
Wake Forest,Monroe,NC,USA,"Wake Forest, Monroe, NC",,
Wake Forest,Wake Forest,NC,USA,"Wake Forest, Wake Forest, NC",,
Wakefield,Raleigh,NC,USA,"Wakefield, Raleigh, NC",,
Wallace-Rose Hill,Teachey,NC,USA,"Wallace-Rose Hill, Teachey, NC",,
Walter M Williams,Burlington,NC,USA,"Walter M Williams, Burlington, NC",,
Warren County,Warrenton,NC,USA,"Warren County, Warrenton, NC",,
Watauga,Boone,NC,USA,"Watauga, Boone, NC",,
Weddington,Matthews,NC,USA,"Weddington, Matthews, NC",,
Weldon,Weldon,NC,USA,"Weldon, Weldon, NC",,
West Brunswick,Shallotte,NC,USA,"West Brunswick, Shallotte, NC",,
West Carteret,Morehead City,NC,USA,"West Carteret, Morehead City, NC",,
West Charlotte,Charlotte,NC,USA,"West Charlotte, Charlotte, NC",,
West Columbus,Cerro Gordo,NC,USA,"West Columbus, Cerro Gordo, NC",,
West Craven,Vanceboro,NC,USA,"West Craven, Vanceboro, NC",,
West Davidson,Lexington,NC,USA,"West Davidson, Lexington, NC",,
West Forsyth,Clemmons,NC,USA,"West Forsyth, Clemmons, NC",,
West Henderson,Hendersonville,NC,USA,"West Henderson, Hendersonville, NC",,
West Iredell,Statesville,NC,USA,"West Iredell, Statesville, NC",,
West Mecklenburg,Charlotte,NC,USA,"West Mecklenburg, Charlotte, NC",,
West Montgomery,Mount Gilead,NC,USA,"West Montgomery, Mount Gilead, NC",,
West Orange,Charlotte,NC,USA,"West Orange, Charlotte, NC",,
West Rowan,Mount Ulla,NC,USA,"West Rowan, Mount Ulla, NC",,
West Stanly,Oakboro,NC,USA,"West Stanly, Oakboro, NC",,
West Stokes,King,NC,USA,"West Stokes, King, NC",,
Western Alamance,Elon,NC,USA,"Western Alamance, Elon, NC",,
Western Guilford,Greensboro,NC,USA,"Western Guilford, Greensboro, NC",,
Western Harnett,Lillington,NC,USA,"Western Harnett, Lillington, NC",,
Westover,Fayetteville,NC,USA,"Westover, Fayetteville, NC",,
White Oak,Jacksonville,NC,USA,"White Oak, Jacksonville, NC",,
Whiteville,Whiteville,NC,USA,"Whiteville, Whiteville, NC",,
William Amos Hough,Charlotte,NC,USA,"William Amos Hough, Charlotte, NC",,
William Amos Hough,Cornelius,NC,USA,"William Amos Hough, Cornelius, NC",,
William Amos Hough,Gastonia,NC,USA,"William Amos Hough, Gastonia, NC",,
William G Enloe,Raleigh,NC,USA,"William G Enloe, Raleigh, NC",,
Williamston,Williamston,NC,USA,"Williamston, Williamston, NC",,
Winston-Salem Prep,Winston Salem,NC,USA,"Winston-Salem Prep, Winston Salem, NC",,
