"","school","city","stateProvince","country","schoolcitystate","schoolcitystate2","lon","lat"
"420","Russellville","Russellville","AR","USA","Russellville, Russellville, AR","Russellville, Russellville, AR",-93.1337856,35.2784173
"421","Searcy","Searcy","AR","USA","Searcy, Searcy, AR","Searcy, Searcy, AR",-91.7336846,35.2468204
"422","Sheridan","Sheridan","AR","USA","Sheridan, Sheridan, AR","Sheridan, Sheridan, AR",-92.4012654,34.3070406
"423","Shiloh Christian","Springdale","AR","USA","Shiloh Christian, Springdale, AR","Shiloh Christian, Springdale, AR",-94.1563176,36.1694942
"424","Siloam Springs","Siloam Springs","AR","USA","Siloam Springs, Siloam Springs, AR","Siloam Springs, Siloam Springs, AR",-94.5404962,36.1881365
"425","Smackover","Smackover","AR","USA","Smackover, Smackover, AR","Smackover, Smackover, AR",-92.7248822,33.3648455
"426","Southside","Fort Smith","AR","USA","Southside, Fort Smith, AR","Southside, Fort Smith, AR",-94.3883332,35.3479762
"427","Springdale","Springdale","AR","USA","Springdale, Springdale, AR","Springdale, Springdale, AR",-94.1288141,36.1867442
"428","St. Benedict at Auburndale","Heber Springs","AR","USA","St. Benedict at Auburndale, Heber Springs, AR","St. Benedict at Auburndale, Heber Springs, AR",-89.7904765,35.1856693
"429","St. Joe","Saint Joe","AR","USA","St. Joe, Saint Joe, AR","St. Joe, Saint Joe, AR",-92.8046118,36.0300743
"430","Star City","Star City","AR","USA","Star City, Star City, AR","Star City, Star City, AR",-91.8434668,33.9428794
"431","Strong","Strong","AR","USA","Strong, Strong, AR","Strong, Strong, AR",-92.3566861,33.1073435
"432","Stuttgart","Stuttgart","AR","USA","Stuttgart, Stuttgart, AR","Stuttgart, Stuttgart, AR",-91.5526281,34.5003748
"433","Sylvan Hills","Sherwood","AR","USA","Sylvan Hills, Sherwood, AR","Sylvan Hills, Sherwood, AR",-92.2355257,34.8487106
"434","Trumann","Trumann","AR","USA","Trumann, Trumann, AR","Trumann, Trumann, AR",-90.5073285,35.6736895
"435","Van Buren","Van Buren","AR","USA","Van Buren, Van Buren, AR","Van Buren, Van Buren, AR",-94.348268,35.436756
"436","Warren","Warren","AR","USA","Warren, Warren, AR","Warren, Warren, AR",-92.064583,33.6126086
"437","Watson Chapel","Pine Bluff","AR","USA","Watson Chapel, Pine Bluff, AR","Watson Chapel, Pine Bluff, AR",-92.0656975,34.1892649
"438","West Memphis","West Memphis","AR","USA","West Memphis, West Memphis, AR","West Memphis, West Memphis, AR",-90.1845388,35.1464797
"439","West Memphis Christian School","West Memphis","AR","USA","West Memphis Christian School, West Memphis, AR","West Memphis Christian School, West Memphis, AR",-90.1831388,35.1583701
"440","White Hall","White Hall","AR","USA","White Hall, White Hall, AR","White Hall, White Hall, AR",-92.0947561,34.2712747
"441","Wilbur D. Mills","Little Rock","AR","USA","Wilbur D. Mills, Little Rock, AR","Wilbur D. Mills, Little Rock, AR",-92.3280244,34.744543
"442","Wynne","Wynne","AR","USA","Wynne, Wynne, AR","Wynne, Wynne, AR",-90.7867798,35.224533
"443","Yellville-Summit","Yellville","AR","USA","Yellville-Summit, Yellville, AR","Yellville-Summit, Yellville, AR",-92.6901668,36.2406348
"444","Fa'asao Marist","Pago Pago","AS",NA,"Fa'asao Marist, Pago Pago, AS","Fa'asao Marist, Pago Pago, AS",-170.7730437,-14.3437736
"445","Faga'itua","Pago Pago","AS",NA,"Faga'itua, Pago Pago, AS","Faga'itua, Pago Pago, AS",-170.6153463,-14.2671898
"446","Kanana Fou","Pago Pago","AS",NA,"Kanana Fou, Pago Pago, AS","Kanana Fou, Pago Pago, AS",-170.7282431,-14.3274686
"447","Leone","Pago Pago","AS",NA,"Leone, Pago Pago, AS","Leone, Pago Pago, AS",-170.7020359,-14.2756319
"448","Nu'uuli Voc-Tech","Pago Pago","AS",NA,"Nu'uuli Voc-Tech, Pago Pago, AS","Nu'uuli Voc-Tech, Pago Pago, AS",-170.7148855,-14.322661
"449","Samoana","Pago Pago","AS",NA,"Samoana, Pago Pago, AS","Samoana, Pago Pago, AS",-170.7020359,-14.2756319
"450","Tafuna","Pago Pago","AS",NA,"Tafuna, Pago Pago, AS","Tafuna, Pago Pago, AS",-170.7020359,-14.2756319
"451","Aaec Paradise Valley","Phoenix","AZ","USA","Aaec Paradise Valley, Phoenix, AZ","Aaec Paradise Valley, Phoenix, AZ",-112.0015209,33.6539418
"452","Agua Fria","Avondale","AZ","USA","Agua Fria, Avondale, AZ","Agua Fria, Avondale, AZ",-112.3431302,33.4400919
"453","American Leadership Academy","Gilbert","AZ","USA","American Leadership Academy, Gilbert, AZ","American Leadership Academy, Gilbert, AZ",-111.7230171,33.3314649
"454","Amphitheater","Tucson","AZ","USA","Amphitheater, Tucson, AZ","Amphitheater, Tucson, AZ",-111.0842235,32.1297698
"455","Apache Junction","Apache Junction","AZ","USA","Apache Junction, Apache Junction, AZ","Apache Junction, Apache Junction, AZ",-111.5495777,33.4150485
"456","Apollo","Glendale","AZ","USA","Apollo, Glendale, AZ","Apollo, Glendale, AZ",-112.1586701,33.5551201
"457","Arcadia","Phoenix","AZ","USA","Arcadia, Phoenix, AZ","Arcadia, Phoenix, AZ",-111.9611919,33.494109
"458","Basha","Chandler","AZ","USA","Basha, Chandler, AZ","Basha, Chandler, AZ",-111.7918039,33.2351665
"459","Betty H. Fairfax","Laveen","AZ","USA","Betty H. Fairfax, Laveen, AZ","Betty H. Fairfax, Laveen, AZ",-112.181396,33.370678
"460","Blue Ridge","Lakeside","AZ","USA","Blue Ridge, Lakeside, AZ","Blue Ridge, Lakeside, AZ",-109.9666195,34.1494471
"461","Boulder Creek","Phoenix","AZ","USA","Boulder Creek, Phoenix, AZ","Boulder Creek, Phoenix, AZ",-111.9690332,33.4578962
"462","Bradshaw Mountain","Prescott Valley","AZ","USA","Bradshaw Mountain, Prescott Valley, AZ","Bradshaw Mountain, Prescott Valley, AZ",-112.3480269,34.6005194
"463","Brophy College Preparatory","Phoenix","AZ","USA","Brophy College Preparatory, Phoenix, AZ","Brophy College Preparatory, Phoenix, AZ",-112.0719379,33.5049292
"464","Buckeye Union","B M Goldwater A F Range","AZ","USA","Buckeye Union, B M Goldwater A F Range, AZ","Buckeye Union, B M Goldwater A F Range, AZ",-112.5837766,33.3703197
"465","Buena","Sierra Vista","AZ","USA","Buena, Sierra Vista, AZ","Buena, Sierra Vista, AZ",-110.2806839,31.5570236
"466","Cactus","Glendale","AZ","USA","Cactus, Glendale, AZ","Cactus, Glendale, AZ",-112.2005153,33.6699777
"467","Camelback","Phoenix","AZ","USA","Camelback, Phoenix, AZ","Camelback, Phoenix, AZ",-112.0191328,33.5094828
"468","Canyon Del Oro","Tucson","AZ","USA","Canyon Del Oro, Tucson, AZ","Canyon Del Oro, Tucson, AZ",-110.9738019,32.3740761
"469","Casa Grande Union","Casa Grande","AZ","USA","Casa Grande Union, Casa Grande, AZ","Casa Grande Union, Casa Grande, AZ",-111.7373152,32.9356519
"470","Casteel","QUEEN CREEK","AZ","USA","Casteel, QUEEN CREEK, AZ","Casteel, QUEEN CREEK, AZ",-111.6838037,33.2221805
"471","Catalina Foothills","Tucson","AZ","USA","Catalina Foothills, Tucson, AZ","Catalina Foothills, Tucson, AZ",-110.9187037,32.297853
"472","Centennial","Peoria","AZ","USA","Centennial, Peoria, AZ","Centennial, Peoria, AZ",-112.2322333,33.6170908
"473","Central","Paradise Valley","AZ","USA","Central, Paradise Valley, AZ","Central, Paradise Valley, AZ",-111.9785093,33.6068249
"474","Central","Phoenix","AZ","USA","Central, Phoenix, AZ","Central, Phoenix, AZ",-112.0595603,33.4358417
"475","Cesar Chavez","Laveen","AZ","USA","Cesar Chavez, Laveen, AZ","Cesar Chavez, Laveen, AZ",-112.1453273,33.3760045
"476","Chandler","Chandler","AZ","USA","Chandler, Chandler, AZ","Chandler, Chandler, AZ",-111.8412502,33.3061605
"477","Chandler","Gilbert","AZ","USA","Chandler, Gilbert, AZ","Chandler, Gilbert, AZ",-111.789027,33.3528264
"478","Chaparral","Paradise Valley","AZ","USA","Chaparral, Paradise Valley, AZ","Chaparral, Paradise Valley, AZ",-111.8740367,33.509485
"479","Chaparral","Scottsdale","AZ","USA","Chaparral, Scottsdale, AZ","Chaparral, Scottsdale, AZ",-111.932348,33.576638
"480","Cibola","Yuma","AZ","USA","Cibola, Yuma, AZ","Cibola, Yuma, AZ",-114.6687939,32.6918505
"481","Cienega","Coronado Ntl Forest","AZ","USA","Cienega, Coronado Ntl Forest, AZ","Cienega, Coronado Ntl Forest, AZ",-110.402376,31.8630332
"482","Cienega","Tucson","AZ","USA","Cienega, Tucson, AZ","Cienega, Tucson, AZ",-110.7219516,32.0574081
"483","Corona Del Sol","Tempe","AZ","USA","Corona Del Sol, Tempe, AZ","Corona Del Sol, Tempe, AZ",-111.9172232,33.3308749
"484","Deer Valley","Glendale","AZ","USA","Deer Valley, Glendale, AZ","Deer Valley, Glendale, AZ",-112.1191757,33.6695691
"485","Deer Valley","Phoenix","AZ","USA","Deer Valley, Phoenix, AZ","Deer Valley, Phoenix, AZ",-112.1191757,33.6695691
"486","Desert Edge","Goodyear","AZ","USA","Desert Edge, Goodyear, AZ","Desert Edge, Goodyear, AZ",-112.3984972,33.4378175
"487","Desert Mountain","Scottsdale","AZ","USA","Desert Mountain, Scottsdale, AZ","Desert Mountain, Scottsdale, AZ",-111.8628205,33.8608826
"488","Desert Ridge","Mesa","AZ","USA","Desert Ridge, Mesa, AZ","Desert Ridge, Mesa, AZ",-111.6159831,33.3702157
"489","Desert Vista","Phoenix","AZ","USA","Desert Vista, Phoenix, AZ","Desert Vista, Phoenix, AZ",-112.0319877,33.5854675
"490","Dobson","Mesa","AZ","USA","Dobson, Mesa, AZ","Dobson, Mesa, AZ",-111.8653666,33.3763236
"491","Flagstaff","Flagstaff","AZ","USA","Flagstaff, Flagstaff, AZ","Flagstaff, Flagstaff, AZ",-111.651302,35.1982836
"492","Florence","Florence","AZ","USA","Florence, Florence, AZ","Florence, Florence, AZ",-111.3873431,33.0314508
"493","Gilbert","Gilbert","AZ","USA","Gilbert, Gilbert, AZ","Gilbert, Gilbert, AZ",-111.789027,33.3528264
"494","Glendale","Glendale","AZ","USA","Glendale, Glendale, AZ","Glendale, Glendale, AZ",-112.1859866,33.5386523
"495","Greenway","Phoenix","AZ","USA","Greenway, Phoenix, AZ","Greenway, Phoenix, AZ",-112.1091157,33.6206046
"496","Hamilton","Chandler","AZ","USA","Hamilton, Chandler, AZ","Hamilton, Chandler, AZ",-111.8430871,33.2520276
"497","Highland","Gilbert","AZ","USA","Highland, Gilbert, AZ","Highland, Gilbert, AZ",-111.8101069,33.33164
"498","Higley","Gilbert","AZ","USA","Higley, Gilbert, AZ","Higley, Gilbert, AZ",-111.7211026,33.2960947
"499","Horizon","Scottsdale","AZ","USA","Horizon, Scottsdale, AZ","Horizon, Scottsdale, AZ",-111.8813974,33.6181035
"500","Ironwood","Glendale","AZ","USA","Ironwood, Glendale, AZ","Ironwood, Glendale, AZ",-112.1553974,33.5180396
"501","Ironwood Ridge","Tucson","AZ","USA","Ironwood Ridge, Tucson, AZ","Ironwood Ridge, Tucson, AZ",-111.0208406,32.408522
"502","Lake Havasu","Lake Havasu City","AZ","USA","Lake Havasu, Lake Havasu City, AZ","Lake Havasu, Lake Havasu City, AZ",-114.3224548,34.483901
"503","Liberty","Globe","AZ","USA","Liberty, Globe, AZ","Liberty, Globe, AZ",-110.7753944,33.4012045
"504","Liberty","Peoria","AZ","USA","Liberty, Peoria, AZ","Liberty, Peoria, AZ",-112.2662656,33.6859158
"505","Marana","Marana","AZ","USA","Marana, Marana, AZ","Marana, Marana, AZ",-111.2224422,32.436381
"506","Marcos De Niza","Tempe","AZ","USA","Marcos De Niza, Tempe, AZ","Marcos De Niza, Tempe, AZ",-111.9217227,33.3658429
"507","Maricopa","Maricopa","AZ","USA","Maricopa, Maricopa, AZ","Maricopa, Maricopa, AZ",-112.0476423,33.0581063
"508","Maryvale","Phoenix","AZ","USA","Maryvale, Phoenix, AZ","Maryvale, Phoenix, AZ",-112.1776524,33.5019864
"509","Mcclintock","Tempe","AZ","USA","Mcclintock, Tempe, AZ","Mcclintock, Tempe, AZ",-111.9060446,33.3963282
"510","Mesa","Mesa","AZ","USA","Mesa, Mesa, AZ","Mesa, Mesa, AZ",-111.8314724,33.4151843
"511","Mesquite","Gilbert","AZ","USA","Mesquite, Gilbert, AZ","Mesquite, Gilbert, AZ",-111.8195389,33.3415272
"512","Millennium","Goodyear","AZ","USA","Millennium, Goodyear, AZ","Millennium, Goodyear, AZ",-112.3772714,33.4945373
"513","Moon Valley","Phoenix","AZ","USA","Moon Valley, Phoenix, AZ","Moon Valley, Phoenix, AZ",-112.0722287,33.6191954
"514","Mount Douglas","Benson","AZ","USA","Mount Douglas, Benson, AZ","Mount Douglas, Benson, AZ",-109.5453447,31.3445471
"515","Mountain Pointe","Phoenix","AZ","USA","Mountain Pointe, Phoenix, AZ","Mountain Pointe, Phoenix, AZ",-111.9906404,33.3259495
"516","Mountain Ridge","Glendale","AZ","USA","Mountain Ridge, Glendale, AZ","Mountain Ridge, Glendale, AZ",-112.2042181,33.6898728
"517","Mountain View","Mesa","AZ","USA","Mountain View, Mesa, AZ","Mountain View, Mesa, AZ",-111.7721135,33.4387311
"518","Mountain View","Tucson","AZ","USA","Mountain View, Tucson, AZ","Mountain View, Tucson, AZ",-110.6817486,32.0025816
"519","New Visions Academy - St. John's Campus","Saint Johns","AZ","USA","New Visions Academy - St. John's Campus, Saint Johns, AZ","New Visions Academy - St. John's Campus, Saint Johns, AZ",-109.3609327,34.5058698
"520","North Canyon","Phoenix","AZ","USA","North Canyon, Phoenix, AZ","North Canyon, Phoenix, AZ",-112.0433521,33.6566745
"521","Notre Dame Preparatory","Scottsdale","AZ","USA","Notre Dame Preparatory, Scottsdale, AZ","Notre Dame Preparatory, Scottsdale, AZ",-111.8703104,33.6370049
"522","Palo Verde Magnet School","Tucson","AZ","USA","Palo Verde Magnet School, Tucson, AZ","Palo Verde Magnet School, Tucson, AZ",-110.8443953,32.2051293
"523","Paradise Valley","Phoenix","AZ","USA","Paradise Valley, Phoenix, AZ","Paradise Valley, Phoenix, AZ",-111.9760964,33.6111814
"524","Peoria","Peoria","AZ","USA","Peoria, Peoria, AZ","Peoria, Peoria, AZ",-112.2373779,33.5805955
"525","Perry","Gilbert","AZ","USA","Perry, Gilbert, AZ","Perry, Gilbert, AZ",-111.7478395,33.2618766
"526","Phoenix Christian Unified Schools","Phoenix","AZ","USA","Phoenix Christian Unified Schools, Phoenix, AZ","Phoenix Christian Unified Schools, Phoenix, AZ",-112.0971118,33.4946446
"527","Pinnacle","Phoenix","AZ","USA","Pinnacle, Phoenix, AZ","Pinnacle, Phoenix, AZ",-112.0077805,33.6795278
"528","Prescott","Prescott","AZ","USA","Prescott, Prescott, AZ","Prescott, Prescott, AZ",-112.4685025,34.5400242
"529","Queen Creek","Queen Creek","AZ","USA","Queen Creek, Queen Creek, AZ","Queen Creek, Queen Creek, AZ",-111.6345554,33.2486083
"530","Raymond S. Kellis","Glendale","AZ","USA","Raymond S. Kellis, Glendale, AZ","Raymond S. Kellis, Glendale, AZ",-112.2527456,33.5462442
"531","Red Mountain","Mesa","AZ","USA","Red Mountain, Mesa, AZ","Red Mountain, Mesa, AZ",-111.677858,33.4748092
"532","Rincon","Tucson","AZ","USA","Rincon, Tucson, AZ","Rincon, Tucson, AZ",-110.9925549,32.1816079
"533","Round Valley","Springerville","AZ","USA","Round Valley, Springerville, AZ","Round Valley, Springerville, AZ",-109.2895775,34.1257418
"534","Sabino","Tucson","AZ","USA","Sabino, Tucson, AZ","Sabino, Tucson, AZ",-110.8129656,32.3034935
"535","Safford","Safford","AZ","USA","Safford, Safford, AZ","Safford, Safford, AZ",-109.70758,32.8339546
"536","Saguaro","Chandler","AZ","USA","Saguaro, Chandler, AZ","Saguaro, Chandler, AZ",-111.869939,33.3213026
"537","Saguaro","Scottsdale","AZ","USA","Saguaro, Scottsdale, AZ","Saguaro, Scottsdale, AZ",-111.9227616,33.4941213
"538","Saguaro","Tempe","AZ","USA","Saguaro, Tempe, AZ","Saguaro, Tempe, AZ",-111.9714218,33.3891021
"539","Sahuaro","Tucson","AZ","USA","Sahuaro, Tucson, AZ","Sahuaro, Tucson, AZ",-110.9684347,32.1738899
"540","Salpointe Catholic","Tucson","AZ","USA","Salpointe Catholic, Tucson, AZ","Salpointe Catholic, Tucson, AZ",-110.9504775,32.2545514
"541","Sandra Day O'connor","Glendale","AZ","USA","Sandra Day O'connor, Glendale, AZ","Sandra Day O'connor, Glendale, AZ",-112.136518,33.717254
"542","Santa Rita","Tucson","AZ","USA","Santa Rita, Tucson, AZ","Santa Rita, Tucson, AZ",-110.8231232,32.1759326
"543","Scottsdale Christian Academy","Phoenix","AZ","USA","Scottsdale Christian Academy, Phoenix, AZ","Scottsdale Christian Academy, Phoenix, AZ",-111.979048,33.617367
"544","Shadow Mountain","Phoenix","AZ","USA","Shadow Mountain, Phoenix, AZ","Shadow Mountain, Phoenix, AZ",-112.0096313,33.6162472
"545","Show Low","Show Low","AZ","USA","Show Low, Show Low, AZ","Show Low, Show Low, AZ",-110.0298327,34.2542084
"546","Sinagua","Flagstaff","AZ","USA","Sinagua, Flagstaff, AZ","Sinagua, Flagstaff, AZ",-111.6035634,35.1958364
"547","Skyline","Mesa","AZ","USA","Skyline, Mesa, AZ","Skyline, Mesa, AZ",-111.6411574,33.362539
"548","South Mountain","Phoenix","AZ","USA","South Mountain, Phoenix, AZ","South Mountain, Phoenix, AZ",-112.0714835,33.380303
"549","St Marys","Phoenix","AZ","USA","St Marys, Phoenix, AZ","St Marys, Phoenix, AZ",-112.0693678,33.4506955
"550","St. Mary's","Phoenix","AZ","USA","St. Mary's, Phoenix, AZ","St. Mary's, Phoenix, AZ",-112.0686586,33.4749498
"551","St. Thomas Aquinas","Yuma","AZ","USA","St. Thomas Aquinas, Yuma, AZ","St. Thomas Aquinas, Yuma, AZ",-114.5161005,32.6655231
"552","Sunnyside","Tucson","AZ","USA","Sunnyside, Tucson, AZ","Sunnyside, Tucson, AZ",-110.9775758,32.1486952
"553","Sunnyslope","Phoenix","AZ","USA","Sunnyslope, Phoenix, AZ","Sunnyslope, Phoenix, AZ",-112.0651494,33.5658748
"554","Sunrise Mountain","Peoria","AZ","USA","Sunrise Mountain, Peoria, AZ","Sunrise Mountain, Peoria, AZ",-112.2383044,33.6773264
"555","Tafuna","Tucson","AZ","USA","Tafuna, Tucson, AZ","Tafuna, Tucson, AZ",-170.7269854,-14.331296
"556","Tempe","Tempe","AZ","USA","Tempe, Tempe, AZ","Tempe, Tempe, AZ",-111.9400054,33.4255104
"557","Thatcher","Thatcher","AZ","USA","Thatcher, Thatcher, AZ","Thatcher, Thatcher, AZ",-109.7592479,32.8492323
"558","Thunderbird","Phoenix","AZ","USA","Thunderbird, Phoenix, AZ","Thunderbird, Phoenix, AZ",-112.0112149,33.6113786
"559","Tolleson Union","Tolleson","AZ","USA","Tolleson Union, Tolleson, AZ","Tolleson Union, Tolleson, AZ",-112.262246,33.4298523
"560","Trevor Browne","Phoenix","AZ","USA","Trevor Browne, Phoenix, AZ","Trevor Browne, Phoenix, AZ",-112.2199594,33.4832326
"561","Tucson Magnet","Tucson","AZ","USA","Tucson Magnet, Tucson, AZ","Tucson Magnet, Tucson, AZ",-110.9616089,32.2270858
"562","Valley Christian","Chandler","AZ","USA","Valley Christian, Chandler, AZ","Valley Christian, Chandler, AZ",-111.962124,33.313239
"563","Valley Vista","Surprise","AZ","USA","Valley Vista, Surprise, AZ","Valley Vista, Surprise, AZ",-112.3917255,33.6258667
"564","Verrado","B M Goldwater A F Range","AZ","USA","Verrado, B M Goldwater A F Range, AZ","Verrado, B M Goldwater A F Range, AZ",-112.5066293,33.4846579
"565","Washington","Phoenix","AZ","USA","Washington, Phoenix, AZ","Washington, Phoenix, AZ",-112.0183571,33.4481003
"566","Washington","Scottsdale","AZ","USA","Washington, Scottsdale, AZ","Washington, Scottsdale, AZ",-111.9274182,33.5341142
"567","Westview","Tolleson","AZ","USA","Westview, Tolleson, AZ","Westview, Tolleson, AZ",-112.292487,33.490018
"568","Williams","Williams","AZ","USA","Williams, Williams, AZ","Williams, Williams, AZ",-112.1910031,35.2494566
"569","Williams Field","Gilbert","AZ","USA","Williams Field, Gilbert, AZ","Williams Field, Gilbert, AZ",-111.722,33.314184
"570","Willow Canyon","Surprise","AZ","USA","Willow Canyon, Surprise, AZ","Willow Canyon, Surprise, AZ",-112.4431975,33.6352328
"571","Youngker","B M Goldwater A F Range","AZ","USA","Youngker, B M Goldwater A F Range, AZ","Youngker, B M Goldwater A F Range, AZ",-113.4776098,32.6625147
"572","Yuma Catholic","Yuma","AZ","USA","Yuma Catholic, Yuma, AZ","Yuma Catholic, Yuma, AZ",-114.6448445,32.6766708
"573","Abbotsford","Abbotsford","BC","Canada","Abbotsford, Abbotsford, BC","Abbotsford, Abbotsford, BC",-122.3044697,49.0504377
"574","Belmont","Victoria","BC","Canada","Belmont, Victoria, BC","Belmont, Victoria, BC",-123.5299204,48.4431489
"575","Chaminade","North Vancouver","BC","Canada","Chaminade, North Vancouver, BC","Chaminade, North Vancouver, BC",-123.0724139,49.3199816
"576","Clearwater Academy International","North Vancouver","BC","Canada","Clearwater Academy International, North Vancouver, BC","Clearwater Academy International, North Vancouver, BC",-82.7955034,27.9678526
"577","Kelowna Secondary School","Port Coquitlam","BC","Canada","Kelowna Secondary School, Port Coquitlam, BC","Kelowna Secondary School, Port Coquitlam, BC",-122.789216,49.255896
"578","Kew High School","Abbotsford","BC","Canada","Kew High School, Abbotsford, BC","Kew High School, Abbotsford, BC",145.063284,-37.795756
"579","New Westminster","New Westminster","BC","Canada","New Westminster, New Westminster, BC","New Westminster, New Westminster, BC",-122.910956,49.2057179
"580","Terry Fox","Port Coquitlam","BC","Canada","Terry Fox, Port Coquitlam, BC","Terry Fox, Port Coquitlam, BC",-122.7483929,49.2625002
"581","Vancouver College Prep","North Vancouver","BC","Canada","Vancouver College Prep, North Vancouver, BC","Vancouver College Prep, North Vancouver, BC",-123.0736652,49.322309
"582","WJ Mouat Secondary","Victoria","BC","Canada","WJ Mouat Secondary, Victoria, BC","WJ Mouat Secondary, Victoria, BC",-122.3272719,49.0593674
"583","A.B. Miller","Fontana","CA","USA","A.B. Miller, Fontana, CA","A.B. Miller, Fontana, CA",-117.4460949,34.130724
"584","Acalanes","Lafayette","CA","USA","Acalanes, Lafayette, CA","Acalanes, Lafayette, CA",-122.151897,37.8730398
"585","Adolfo Camarillo","Camarillo","CA","USA","Adolfo Camarillo, Camarillo, CA","Adolfo Camarillo, Camarillo, CA",-119.0084031,34.2181293
"586","Adrian Wilcox","Santa Clara","CA","USA","Adrian Wilcox, Santa Clara, CA","Adrian Wilcox, Santa Clara, CA",-121.9861922,37.3662513
"587","Agape Academy","Mission Viejo","CA","USA","Agape Academy, Mission Viejo, CA","Agape Academy, Mission Viejo, CA",-117.6581562,33.5968913
"588","Agoura","Agoura Hills","CA","USA","Agoura, Agoura Hills, CA","Agoura, Agoura Hills, CA",-118.7573324,34.1541205
"589","Alain Leroy Locke Senior","Los Angeles","CA","USA","Alain Leroy Locke Senior, Los Angeles, CA","Alain Leroy Locke Senior, Los Angeles, CA",-118.2684659,33.9353955
"590","Alameda","Alameda","CA","USA","Alameda, Alameda, CA","Alameda, Alameda, CA",-122.2821855,37.7798721
"591","Alhambra","Alhambra","CA","USA","Alhambra, Alhambra, CA","Alhambra, Alhambra, CA",-118.1270146,34.095287
"592","Alhambra Senior","Martinez","CA","USA","Alhambra Senior, Martinez, CA","Alhambra Senior, Martinez, CA",-122.1333639,38.0025956
"593","Aliso Niguel","Aliso Viejo","CA","USA","Aliso Niguel, Aliso Viejo, CA","Aliso Niguel, Aliso Viejo, CA",-117.7193706,33.5617208
"594","Alta Loma","Rancho Cucamonga","CA","USA","Alta Loma, Rancho Cucamonga, CA","Alta Loma, Rancho Cucamonga, CA",-117.5981086,34.1222317
"595","Amador Valley","Pleasanton","CA","USA","Amador Valley, Pleasanton, CA","Amador Valley, Pleasanton, CA",-121.8739141,37.6679098
"596","American Canyon","American Canyon","CA","USA","American Canyon, American Canyon, CA","American Canyon, American Canyon, CA",-122.2608044,38.1749178
"597","Anaheim","Anaheim","CA","USA","Anaheim, Anaheim, CA","Anaheim, Anaheim, CA",-117.9143012,33.8365932
"598","Analy","Sebastopol","CA","USA","Analy, Sebastopol, CA","Analy, Sebastopol, CA",-122.8262259,38.4072423
"599","Anderson","Anderson","CA","USA","Anderson, Anderson, CA","Anderson, Anderson, CA",-122.2977815,40.448208
"600","Andrew P. Hill","San Jose","CA","USA","Andrew P. Hill, San Jose, CA","Andrew P. Hill, San Jose, CA",-121.8312164,37.2922264
"601","Angelo Rodriguez","Fairfield","CA","USA","Angelo Rodriguez, Fairfield, CA","Angelo Rodriguez, Fairfield, CA",-122.1463946,38.1995513
"602","Animo Venice Charter","Los Angeles","CA","USA","Animo Venice Charter, Los Angeles, CA","Animo Venice Charter, Los Angeles, CA",-118.462882,33.9965264
"603","Antelope","Antelope","CA","USA","Antelope, Antelope, CA","Antelope, Antelope, CA",-121.3644216,38.7166871
"604","Antelope Valley","Lancaster","CA","USA","Antelope Valley, Lancaster, CA","Antelope Valley, Lancaster, CA",-118.2522977,34.7513712
"605","Antelope View Charter","Antelope","CA","USA","Antelope View Charter, Antelope, CA","Antelope View Charter, Antelope, CA",-121.3864574,38.7196864
"606","Antioch","Antioch","CA","USA","Antioch, Antioch, CA","Antioch, Antioch, CA",-121.805789,38.0049214
"607","Apple Valley","Apple Valley","CA","USA","Apple Valley, Apple Valley, CA","Apple Valley, Apple Valley, CA",-117.1858759,34.5008311
"608","Aquinas","San Bernardino","CA","USA","Aquinas, San Bernardino, CA","Aquinas, San Bernardino, CA",-117.2451981,34.1419897
"609","Aragon","San Mateo","CA","USA","Aragon, San Mateo, CA","Aragon, San Mateo, CA",-122.3291748,37.555132
"610","Arcadia","Arcadia","CA","USA","Arcadia, Arcadia, CA","Arcadia, Arcadia, CA",-118.0353449,34.1397292
"611","Archbishop Mitty","San Jose","CA","USA","Archbishop Mitty, San Jose, CA","Archbishop Mitty, San Jose, CA",-121.9932495,37.3152241
"612","Archbishop Riordan","Daly City","CA","USA","Archbishop Riordan, Daly City, CA","Archbishop Riordan, Daly City, CA",-122.4527069,37.7277417
"613","Argonaut","Jackson","CA","USA","Argonaut, Jackson, CA","Argonaut, Jackson, CA",-120.7767419,38.3563501
"614","Arlington","Riverside","CA","USA","Arlington, Riverside, CA","Arlington, Riverside, CA",-117.4465139,33.920391
"615","Armijo","Fairfield","CA","USA","Armijo, Fairfield, CA","Armijo, Fairfield, CA",-122.037594,38.250993
"616","Arnold O. Beckman","Tustin","CA","USA","Arnold O. Beckman, Tustin, CA","Arnold O. Beckman, Tustin, CA",-117.7824594,33.7176198
"617","Arroyo Grande","Arroyo Grande","CA","USA","Arroyo Grande, Arroyo Grande, CA","Arroyo Grande, Arroyo Grande, CA",-120.5907252,35.1185868
"618","Arroyo Valley","San Bernardino","CA","USA","Arroyo Valley, San Bernardino, CA","Arroyo Valley, San Bernardino, CA",-117.3277129,34.1186196
"619","Artesia","Lakewood","CA","USA","Artesia, Lakewood, CA","Artesia, Lakewood, CA",-118.0757531,33.8459211
"620","Atascadero","Atascadero","CA","USA","Atascadero, Atascadero, CA","Atascadero, Atascadero, CA",-120.6707255,35.4894169
"621","Bakersfield","Bakersfield","CA","USA","Bakersfield, Bakersfield, CA","Bakersfield, Bakersfield, CA",-119.0187125,35.3732921
